,代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区,振幅%%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度%%,活跃度,每笔均量,每笔换手,财务更新,上市日期,总股本(万),B股(或A),H股,总资产(万),净资产,少数股权,资产负债率%%,流动资产,固定资产,无形资产,流动负债,公积金,存货,应收帐款,营业收入,营业成本,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收,最高,每股收益,每股净资,调整后净资,每股公积,每股未分配,权益比,净益率%%,销售毛利率%%,今开,净利润率%%,total1,total2,total3,total4
1515,300284,苏交科,33.33,27.55,14.45,10.62,3.85,-24.35,46.5,177769568.0,0.82,建筑施工,江苏,15.97,17.16,46496.0,57101.0,0.81,177.0,144.0,,32407.14,54.31,         92.78亿,-0.18,3585.0,29.0,0.0009,20150804.0,20120110.0,55358.71,0.0,0.0,450716.44,241190.3,13641.2,43.46,344040.13,28245.44,7515.53,187087.88,105515.88,4117.41,234673.2,87375.21,57379.94,12624.05,-30.6,13198.76,10322.23,9977.36,72581.21,-38107.23,-7796.02,13969.0,23199.0,38.88万,3.2,-0.53,15.5,16.97,18.21,0.190㈡,4.36,0.0,1.91,1.31,53.51,          4.14㈡,34.33,15.51,11.42,20958314.46,6990611.9844,2525.415,842.3481
1516,300285,国瓷材料,63.6,50.75,20.43,26.22,8.5,-413.5,79.65,49136676.0,0.59,化工原料,山东,12.69,25.25,10515.0,8945.0,1.18,95.0,211.0,,24224.13,60.44,         63.49亿,-0.63,1253.0,16.0,0.0006,20150811.0,20120113.0,25447.59,0.0,0.0,102400.71,74719.35,6908.18,20.29,47479.73,33901.05,6441.31,19696.07,22512.53,15827.19,21883.61,24215.9,14217.12,4946.51,0.0,5613.73,4614.37,3985.58,23346.8,-1535.46,-5319.64,6109.0,39653.0,98.93万,0.8,-0.19,23.58,25.38,26.8,0.157㈡,2.94,0.0,0.88,0.92,72.97,          5.33㈡,41.29,24.6,16.46,8156216.5515,2519057.466,4814.046,1486.824
1517,300286,安科瑞,0.98,-6.38,20.67,17.03,4.68,97.03,35.59,48663216.0,0.73,电器仪表,上海,13.53,17.06,14537.0,13984.0,1.04,339.0,968.0,,8367.79,13.69,         23.37亿,-2.7,1447.0,20.0,0.0024,20150808.0,20120113.0,14284.7,0.0,0.0,61523.63,49944.12,571.1,17.89,45285.45,8651.32,2223.55,10315.8,17579.09,5767.52,4268.71,13719.76,5751.56,2835.61,0.0,3810.76,3200.92,3283.11,16587.88,2408.41,-3297.87,7549.0,11085.0,18.13万,3.41,-0.96,15.8,17.0,18.1,0.230㈡,3.5,0.0,1.23,1.16,81.18,          6.57㈡,58.08,16.0,23.93,2189625.9917,984378.08,487.2271,219.04
1518,300287,飞利信,86.24,70.23,7.92,62.72,20.75,-201.77,411.94,0.0,0.0,软件服务,北京,0.0,54.26,0.0,0.0,,0.0,0.0,,32749.02,177.7,        309.39亿,1.06,0.0,,,20150826.0,20120201.0,57020.73,0.0,0.0,255719.22,149119.47,1768.36,40.99,180330.61,12448.5,6006.26,103248.34,62930.07,26664.86,94254.4,49329.21,29913.26,3909.26,755.65,4430.0,3689.9,3755.31,28114.35,-15333.75,-13544.8,19045.0,17196.0,93.30万,0.0,,,54.26,,0.066㈡,2.62,0.0,1.1,0.49,58.31,          2.52㈡,39.36,,7.61,105340975.487,,73201.738,
1519,300288,朗玛信息,150.87,128.82,25.81,60.96,10.49,273.41,137.49,118369776.0,1.77,软件服务,贵州,13.28,29.94,22867.0,16666.0,1.37,0.0,1917.0,,16318.79,46.35,         95.98亿,-8.92,1997.0,20.0,0.0012,20150806.0,20120216.0,33794.14,0.0,0.0,112623.0,91454.93,625.43,18.24,42359.57,1128.41,847.09,7508.52,31146.15,51.75,7074.03,15745.1,4566.51,4063.93,508.82,4406.24,3290.35,3490.31,23829.89,3510.35,-3901.12,19788.0,8247.0,23.42万,2.42,0.0,28.4,31.55,32.59,0.103㈡,2.71,0.0,0.92,0.71,81.2,          3.82㈡,71.0,28.99,22.17,15484536.27,3264940.77,6372.6615,1343.6865
1520,300289,利德曼,53.61,10.95,24.16,16.69,4.95,55.79,51.11,98315552.0,0.95,生物制药,北京,13.82,30.3,16076.0,16370.0,0.98,42.0,66.0,,12197.17,35.91,         49.97亿,-5.6,1688.0,19.0,0.0016,20150828.0,20120216.0,16972.0,0.0,0.0,160846.27,100867.09,14632.72,28.19,67076.8,66838.78,4290.5,40102.73,47804.48,9967.71,31896.85,29942.59,13801.9,7233.03,0.0,7967.33,6702.56,4887.7,35852.75,8955.57,4381.98,6862.0,17775.0,52.33万,2.66,-0.67,28.52,31.54,32.88,0.320㈡,5.94,0.0,2.82,2.11,62.71,          4.85㈡,53.91,28.6,16.32,8220852.8597,4600203.322,1835.3601,1027.026
1521,300290,荣科科技,30.01,-5.76,7.91,16.6,3.34,-33.91,91.76,81781464.0,0.84,软件服务,辽宁,16.12,21.09,21780.0,16991.0,1.28,39.0,246.0,,7664.35,15.47,         32.45亿,-3.79,1779.0,22.0,0.0028,20150826.0,20120216.0,16071.48,0.0,0.0,101851.35,82188.49,936.35,18.39,90040.63,8502.11,1846.34,18682.0,45612.78,4734.85,41128.28,19541.71,12932.3,1546.35,0.0,2094.99,1706.09,1768.06,17930.88,-9569.5,27533.85,6699.0,11441.0,23.10万,5.06,-0.54,19.58,21.22,23.0,0.130㈡,6.04,6.04,2.84,1.12,80.69,          2.15㈡,33.82,19.58,9.05,9345879.876,1994249.433,1419.5272,302.9026
1522,300291,华录百纳,300.22,37.74,7.52,16.07,3.84,-50.61,112.86,291800960.0,1.02,影视音像,北京,15.3,19.01,80964.0,72495.0,1.12,41.0,2201.0,,42174.0,83.8,        140.79亿,1.41,3073.0,50.0,0.0012,20150820.0,20120209.0,70853.86,0.0,0.0,437850.06,367041.44,2918.4,15.51,220602.77,667.92,4980.03,67885.4,245160.22,28126.66,108926.61,87604.75,69755.68,6588.97,4.3,7617.72,6839.18,6237.08,47666.12,-27818.49,-14789.3,11792.0,35765.0,71.06万,3.64,0.35,17.82,19.8,20.85,0.088㈡,5.18,0.0,3.46,0.67,83.83,          1.70㈡,20.37,17.82,7.12,49415757.7716,7802488.0692,9457.668,1493.316
1523,300292,吴通通讯,120.88,340.48,10.95,13.52,3.87,-180.62,70.63,151570128.0,1.8,通信设备,江苏,17.01,25.97,37643.0,20724.0,1.82,14.0,134.0,,9328.26,23.88,         81.66亿,5.46,1754.0,33.0,0.0036,20150819.0,20120229.0,31896.8,0.0,0.0,249741.09,196084.27,0.0,21.48,68996.4,6601.6,3853.48,50422.81,150688.27,11895.25,29740.2,60391.9,45437.12,6610.12,0.0,7534.12,5780.58,5780.58,14734.34,-4520.89,-13120.1,9010.0,10353.0,26.50万,6.26,-0.03,22.8,24.52,26.97,0.250㈡,6.61,6.61,4.72,0.46,78.52,          2.95㈡,24.76,24.0,9.57,17639213.1867,5993786.16,1686.6444,573.12
1524,300293,蓝英装备,-28.25,-26.58,11.76,16.12,5.37,47.51,58.83,118313248.0,1.0,专用机械,辽宁,13.65,14.5,45085.0,36505.0,1.24,1299.0,689.0,,11923.87,16.43,         37.21亿,-8.93,2625.0,31.0,0.0026,20150820.0,20120308.0,27000.0,0.0,0.0,209945.27,69340.72,0.0,66.97,104824.75,15975.67,4653.75,138871.09,15907.65,6037.81,41433.23,23081.35,14321.65,2713.5,1.9,3801.03,3159.83,3162.29,24302.92,7831.07,-8018.82,18232.0,6540.0,9.01万,6.84,-0.43,13.78,15.31,15.87,0.117㈡,2.57,0.0,0.59,0.9,33.03,          4.56㈡,37.95,13.82,13.7,12351080.2341,2901443.6314,966.5769,227.0626
1525,300294,博雅生物,18.0,58.96,39.95,27.78,7.08,141.21,44.25,23076696.0,0.19,生物制药,江西,0.0,55.01,80.0,4115.0,0.02,0.0,99292.0,,7127.25,39.21,         62.55亿,-8.94,202.0,21.0,0.0029,20150818.0,20120308.0,11370.0,0.0,0.0,109549.92,88358.02,7159.75,12.81,51314.7,16130.82,5528.16,13382.2,43323.76,14700.67,6636.65,22517.49,8304.37,8994.92,2546.92,9154.37,7672.88,7067.37,29850.0,4429.3,-9147.3,8724.0,8170.0,44.94万,0.59,0.0,55.01,61.12,55.01,0.622㈡,7.77,0.0,3.81,2.63,80.66,          8.00㈡,63.12,55.01,31.39,4847583.96,6026341.0992,1735.0425,2156.9421
1526,300295,三六五网,26.86,-34.89,25.44,17.19,5.67,207.63,42.52,297474912.0,1.21,互联网,江苏,18.0,51.15,29361.0,28796.0,1.02,51.0,10.0,,7817.81,39.06,         47.98亿,0.98,3075.0,19.0,0.0024,20150826.0,20120315.0,9603.0,0.0,0.0,97577.75,84563.31,684.46,12.64,93270.2,1192.55,402.86,12329.96,36794.2,0.0,3509.51,27914.13,1580.14,7101.35,332.75,7410.21,5216.28,5641.0,34164.85,2310.73,4810.1,10411.0,7509.0,37.52万,7.44,0.0,46.0,50.0,55.0,0.587㈡,8.81,0.0,3.83,3.56,86.66,          6.67㈡,94.34,46.35,20.21,4149005.93,4522728.7125,1660.8312,1810.431
1527,300296,利亚德,45.8,50.66,9.36,21.95,11.3,-194.18,80.99,0.0,0.0,半导体,北京,0.0,20.22,0.0,0.0,,0.0,0.0,,35902.05,72.59,        131.78亿,1.06,0.0,,,20150825.0,20120315.0,65170.64,0.0,0.0,222076.52,116612.77,473.01,47.28,172015.09,19655.25,3187.0,74497.57,14242.69,49017.46,64554.25,60040.56,36786.25,5621.31,608.58,10021.37,8255.38,8134.82,35619.71,-6786.07,1757.31,17716.0,20265.0,40.98万,0.0,,,20.22,,0.130㈡,1.79,0.0,0.22,0.55,52.51,          6.98㈡,38.73,,13.55,17985977.3548,,5879.0641,
1528,300297,蓝盾股份,64.62,918.78,7.75,23.81,6.74,-44.95,127.68,195892080.0,0.64,软件服务,广东,14.39,17.08,58818.0,55848.0,1.05,0.0,3338.0,,30752.39,49.82,         78.63亿,-8.94,3175.0,36.0,0.0012,20150826.0,20120315.0,48534.25,0.0,0.0,206399.81,116588.02,792.84,43.13,118139.85,35230.37,11305.08,64567.55,44696.73,12476.87,54505.57,33017.96,18711.09,2560.48,-12.52,3780.5,3092.0,3079.11,21061.21,-17492.31,-2426.62,11853.0,25945.0,42.03万,3.73,-0.36,16.2,18.0,18.79,0.070㈡,2.4,0.0,0.92,0.43,56.49,          2.64㈡,43.33,16.45,9.33,26353127.7408,3395276.8745,6361.0176,819.539
1529,300298,三诺生物,26.34,-7.34,27.73,19.92,5.48,120.48,41.92,45450320.0,0.6,医疗保健,湖南,12.94,24.6,10323.0,8149.0,1.27,1.0,531.0,,10509.45,25.33,         62.91亿,-2.96,1235.0,15.0,0.0014,20150817.0,20120319.0,26105.58,0.0,0.0,128469.32,114885.9,354.13,10.3,100807.63,20096.17,4019.03,10269.05,49900.6,5123.75,11822.15,31585.71,11028.05,8758.1,738.27,8962.53,7473.77,7504.71,32965.55,5222.03,-12525.05,7220.0,14556.0,35.08万,1.76,-0.04,23.13,25.11,26.38,0.287㈡,4.4,0.0,1.91,1.26,89.43,          6.53㈡,65.09,24.0,23.76,5385433.8944,3083263.68,1061.8336,607.92
1530,300299,富春通信,60.22,256.26,18.54,65.89,7.12,349.48,198.49,0.0,0.0,通信设备,福建,0.0,23.92,0.0,0.0,,0.0,0.0,,14326.95,34.27,         90.90亿,1.06,0.0,,,20150823.0,20120319.0,38000.26,0.0,0.0,153853.17,127612.02,1899.29,15.82,56455.55,1611.0,1689.9,23017.09,80193.43,0.0,32310.96,13794.65,7686.93,2556.9,-22.08,2764.03,2468.65,2289.68,8462.66,2600.93,-1608.18,7633.0,18770.0,44.90万,0.0,,,23.92,,0.080㈡,3.36,0.0,2.11,0.22,82.94,          1.79㈡,44.28,,16.6,30538315.7133,,6802.2523,
1531,300300,汉鼎股份,-2.83,0.87,13.95,27.51,13.44,-149.9,111.71,0.0,0.0,软件服务,浙江,0.0,26.55,0.0,0.0,,0.0,0.0,,25715.75,68.28,        101.63亿,1.06,0.0,,,20150825.0,20120319.0,38280.0,0.0,0.0,130807.97,75592.2,1006.62,41.44,109634.47,8275.69,185.33,54179.03,7294.67,32141.2,40497.28,36944.03,26711.2,5153.18,1415.82,5553.26,4662.95,4548.87,27154.25,-6780.22,-4215.16,12895.0,19942.0,52.95万,0.0,,,26.55,,0.119㈡,1.97,0.0,0.19,0.71,57.79,          6.02㈡,27.7,,12.31,14612558.3287,,7627.5588,
1532,300301,长方照明,33.74,8.6,7.85,6.63,3.02,41.97,57.18,55712504.0,0.79,半导体,深圳,11.77,5.8,43289.0,52703.0,0.82,41.0,35.0,,23743.98,13.91,         40.46亿,1.06,1729.0,56.0,0.0023,20150825.0,20120321.0,69036.39,0.0,0.0,293007.72,134039.31,10724.16,50.59,94099.0,103253.03,11177.33,125550.86,44966.55,42901.4,25424.85,60994.05,46674.6,4785.9,2.79,5114.95,4620.18,3537.45,18182.39,9639.11,8595.88,25561.0,9289.0,5.44万,4.04,2.09,5.42,5.86,6.11,0.060㈡,1.94,0.0,0.65,0.26,45.75,          2.64㈡,23.48,5.7,5.8,16754181.4296,1670144.004,795.3738,79.287
1533,300302,同有科技,11.78,92.56,11.78,37.96,8.56,-162.33,159.83,152642752.0,0.91,软件服务,北京,12.87,23.76,29916.0,34327.0,0.87,0.0,3296.0,,10718.17,24.36,         44.19亿,-8.96,2663.0,24.0,0.0023,20150826.0,20120321.0,19440.0,0.0,0.0,57697.32,51599.19,0.0,10.57,46850.05,8084.08,1179.03,4380.65,19303.59,4065.18,14003.3,11639.76,6818.15,1371.28,0.0,1569.35,1382.32,1382.32,11551.65,-2722.04,-3869.33,11344.0,9448.0,21.48万,5.99,0.0,22.73,25.26,25.98,0.071㈡,2.65,0.0,0.99,0.59,89.43,          2.68㈡,41.42,22.75,11.88,9221762.6556,1312614.03,3893.4588,554.19
1534,300303,聚飞光电,-13.49,-18.77,17.32,11.0,4.25,79.59,33.7,101959904.0,0.83,半导体,深圳,13.08,7.56,64880.0,69978.0,0.93,345.0,741.0,,37209.14,27.39,         45.80亿,-4.58,2489.0,54.0,0.0015,20150822.0,20120319.0,62233.6,0.0,0.0,144637.06,107684.5,527.23,25.18,105339.71,35042.8,90.33,33452.7,1803.64,9177.9,33641.64,41632.2,31140.22,7211.87,1814.36,7628.21,6689.31,6795.22,36944.75,5755.06,-32766.72,40683.0,9146.0,6.73万,3.62,-0.13,7.1,7.8,8.12,0.109㈡,1.73,0.0,0.03,0.59,74.45,          6.31㈡,25.2,7.6,16.32,4874268.922,1099241.656,923.043,208.164
1535,300304,云意电气,5.93,1.69,22.03,10.94,2.61,50.66,26.68,49396976.0,0.71,汽车配件,江苏,14.67,12.78,20637.0,18000.0,1.15,5.0,40.0,,20000.0,25.04,         25.04亿,-0.74,1467.0,26.0,0.0013,20150819.0,20120321.0,20000.0,0.0,0.0,120788.45,95801.78,0.0,20.69,84817.02,19945.96,1090.97,13048.11,44781.65,10294.12,14069.76,22884.57,15675.12,5041.4,450.02,5437.85,4709.66,4693.15,27160.9,4942.95,14273.45,9090.0,22002.0,27.55万,1.93,0.16,11.93,12.75,13.8,0.235㈡,4.79,0.0,2.24,1.36,79.31,          4.90㈡,31.5,12.03,20.51,3222635.846,1453085.0535,668.0672,301.2312
1536,300305,裕兴股份,-11.63,25.52,19.68,9.33,1.77,35.45,26.48,45299516.0,1.14,塑料,江苏,12.05,16.39,11480.0,16157.0,0.71,82.0,137.0,,6296.49,9.97,         22.99亿,-3.12,926.0,30.0,0.0047,20150818.0,20120329.0,14525.5,0.0,0.0,134812.05,129637.97,0.0,3.84,92440.46,37153.94,1353.06,2443.95,72045.53,4216.46,10691.21,24644.5,18516.57,4849.93,474.91,5058.75,4342.18,4342.18,33285.62,6485.87,-6321.21,8134.0,7741.0,12.25万,4.39,0.0,15.31,16.52,17.3,0.299㈡,8.92,0.0,4.96,2.29,96.16,          3.35㈡,24.87,15.8,17.62,3569823.084,2130030.39,264.0056,157.526
1537,300306,远方光电,-9.24,-37.22,31.79,31.72,2.54,170.05,48.18,65846440.0,0.97,电器仪表,浙江,14.42,11.37,22669.0,35254.0,0.64,3174.0,148.0,,9607.65,10.68,         26.69亿,-5.73,1735.0,33.0,0.0035,20150826.0,20120329.0,24000.0,0.0,0.0,110825.71,105015.76,99.95,5.15,81668.06,15130.15,4058.73,5466.5,46429.75,4780.99,236.8,8413.67,2712.65,2674.87,686.4,3180.48,2769.55,2769.58,30565.61,1569.46,2747.08,8027.0,11969.0,13.31万,6.03,0.0,10.78,11.93,12.5,0.115㈡,4.38,0.0,1.93,1.27,94.76,          2.64㈡,67.76,11.33,32.92,5339582.7078,1255655.2943,514.5624,121.0044
1538,300307,慈星股份,-19.39,217.62,5.96,17.5,1.87,839.73,42.38,69112264.0,0.71,纺织机械,浙江,11.8,9.12,40184.0,35600.0,1.13,86.0,611.0,,80200.0,71.54,         71.54亿,-3.23,2022.0,37.0,0.0005,20150825.0,20120329.0,80200.0,0.0,0.0,433044.34,383289.0,789.42,11.31,329722.53,22192.5,18043.65,45174.75,192787.59,54957.51,38720.7,40885.28,24758.0,2438.75,224.99,9004.95,8392.71,8440.62,91235.17,851.92,40516.0,35023.0,22899.0,20.43万,0.94,-0.11,8.58,9.32,9.68,0.105㈡,4.78,0.0,2.4,1.14,88.51,          2.20㈡,39.45,8.82,20.64,18352419.1292,3819451.0788,3031.8652,630.9828
1539,300308,中际装备,-25.97,-70.52,-13.05,46.13,3.68,107.81,,27705282.0,0.68,工程机械,山东,15.33,9.43,13305.0,16083.0,0.83,145.0,571.0,,21601.08,19.87,         19.87亿,-3.01,1111.0,26.0,0.0012,20150826.0,20120410.0,21601.08,0.0,0.0,65413.21,53971.01,0.0,17.49,29400.9,13288.25,11717.17,9440.42,23233.75,9114.87,5643.9,4307.66,3093.75,-562.15,-185.88,-510.48,-510.48,-510.48,7807.42,1843.4,2309.87,6686.0,32308.0,29.72万,1.36,-0.54,8.78,9.59,10.25,-0.024㈡,2.5,0.0,1.08,0.36,82.51,         -0.95㈡,28.18,9.1,-11.85,,595260.211,,180.817
1540,300309,吉艾科技,-3.22,7.29,25.87,90.53,5.92,41.07,174.3,0.0,0.0,专用机械,北京,0.0,17.72,0.0,0.0,,0.0,0.0,,21891.85,38.79,         77.00亿,1.06,0.0,,,20150826.0,20120410.0,43454.8,0.0,0.0,232646.09,130140.47,3777.31,42.44,108180.76,21316.88,3306.88,98373.67,48559.3,14218.02,50344.12,8505.7,3666.93,2200.13,21.85,2213.11,1770.24,2208.92,34078.15,18749.06,-6229.0,11163.0,19611.0,34.75万,0.0,,,17.72,,0.051㈡,2.99,0.0,1.12,0.78,55.94,          1.70㈡,56.89,,25.97,40550213.487,,6761.097,
1541,300310,宜通世纪,52.75,28.75,7.73,22.8,15.61,-137.94,169.99,0.0,0.0,通信设备,广东,0.0,47.52,0.0,0.0,,0.0,0.0,,13343.33,63.41,        108.73亿,1.06,0.0,,,20150827.0,20120425.0,22880.0,0.0,0.0,93589.21,69631.46,53.33,25.54,75115.93,8107.55,716.15,23436.56,20915.51,18320.57,36912.53,47693.65,36320.42,3685.88,-193.91,3703.23,3148.78,3197.95,23689.06,-7882.1,-10804.46,10752.0,12410.0,58.97万,0.0,,,47.52,,0.140㈡,3.04,0.0,0.91,1.04,74.4,          4.59㈡,23.85,,6.71,15909229.8079,,10779.0659,
1542,300311,任子行,27.83,10.01,4.71,48.7,12.48,-168.88,218.09,250917200.0,0.78,软件服务,广东,15.04,26.0,42879.0,53610.0,0.8,0.0,1688.0,,13184.32,32.99,         58.43亿,-8.94,3395.0,28.0,0.0022,20150728.0,20120425.0,23352.68,0.0,0.0,67865.9,46829.2,-722.05,32.06,39492.65,12462.92,106.64,14201.5,12151.87,5209.7,12984.53,11998.51,4949.74,565.37,-86.62,1425.47,1205.66,1339.53,14323.6,-3459.7,-8353.6,28717.0,4591.0,11.49万,7.32,0.0,25.02,27.8,29.2,0.057㈡,2.01,0.0,0.52,0.61,69.0,          2.86㈡,58.75,25.05,11.16,14800874.131,1700040.795,7194.7891,826.3995
1543,300312,邦讯技术,44.74,123.63,-0.5,17.89,5.53,-31.82,674.29,0.0,0.0,通信设备,北京,0.0,27.36,0.0,0.0,,0.0,0.0,,8616.37,23.57,         43.78亿,1.06,0.0,,,20150826.0,20120508.0,16002.0,0.0,0.0,154983.77,79240.28,1955.81,47.61,134637.48,2626.24,2802.18,73787.65,51681.92,41545.56,70103.6,24468.35,13013.3,-123.5,-38.27,-114.74,182.44,324.65,9521.92,-13759.72,-11826.2,5237.0,16453.0,45.02万,0.0,,,27.36,,0.020㈡,4.95,0.0,3.23,0.6,51.13,          0.41㈡,46.82,,1.33,104504006.273,,15893.0153,
1544,300313,天山生物,17.07,-319.01,-27.67,51.13,6.82,-19.39,,48092960.0,0.57,农业综合,新疆,11.07,14.07,15989.0,18187.0,0.88,8.0,2110.0,,14412.92,19.89,         25.80亿,-3.44,1096.0,31.0,0.0022,20150818.0,20120425.0,18695.09,0.0,0.0,72469.18,37819.5,6894.53,38.3,37800.55,21650.85,2324.45,23229.6,17392.35,14236.8,2369.0,5045.98,3056.87,-1396.0,30.75,-1360.87,-1402.8,-1013.15,4115.74,-13307.75,1453.67,6086.0,23682.0,32.68万,2.37,1.02,13.35,14.45,14.95,-0.054㈡,2.02,0.0,0.93,0.22,52.19,         -2.68㈡,39.42,14.1,-20.08,,1021815.438,,280.449
1545,300314,戴维医疗,-3.73,-2.65,29.2,40.41,6.44,3250.85,81.0,194628000.0,0.75,医疗保健,浙江,13.76,16.01,59920.0,61677.0,0.97,40.0,85.0,,13007.96,19.77,         43.78亿,-7.59,2911.0,42.0,0.0032,20150811.0,20120508.0,28800.0,0.0,0.0,72392.53,67998.81,0.0,6.07,53047.48,8169.5,2906.25,4389.27,17553.43,5290.16,2399.31,10834.19,5076.91,3163.67,0.0,3219.65,2702.12,2702.12,18829.75,134.66,-3206.43,7886.0,16495.0,25.07万,9.35,0.0,15.13,16.64,17.42,0.094㈡,2.36,0.0,0.61,0.65,93.93,          3.97㈡,53.14,15.13,24.94,5863794.93,1095298.9789,1601.37,299.1201
1546,300315,掌趣科技,34.74,52.58,43.11,50.76,5.58,144.33,68.91,1004704128.0,1.13,互联网,北京,17.13,9.91,485824.0,527637.0,0.92,5937.0,3318.0,,161041.31,151.54,        232.20亿,-5.77,4342.0,233.0,0.0014,20150827.0,20120511.0,246760.69,0.0,0.0,479091.31,416207.19,5043.26,12.07,83867.96,10497.26,12497.75,52257.53,99149.45,0.0,12499.03,45743.09,17016.07,19721.0,-534.03,20668.23,18022.17,16848.09,63696.25,16088.25,-47690.78,144674.0,11131.0,10.47万,6.29,-0.42,9.18,10.1,10.91,0.068㈡,1.69,0.0,0.4,0.26,86.87,          4.05㈡,62.8,9.38,36.83,33014182.1721,4493876.4878,10442.6214,1421.4452
1547,300316,晶盛机电,85.69,40.8,21.78,96.37,13.07,-353.23,251.21,0.0,0.0,专用机械,浙江,0.0,25.9,0.0,0.0,,0.0,0.0,,81081.79,210.0,        228.81亿,1.06,0.0,,,20150725.0,20120511.0,88343.64,0.0,0.0,223662.09,175053.48,9369.65,17.54,138755.81,25798.63,15969.32,33100.35,31364.1,35191.05,23002.34,23741.84,14440.9,5170.2,170.78,5279.6,4513.0,4554.2,49162.07,-6477.74,-8918.73,16612.0,48809.0,126.42万,0.0,,,25.9,,0.052㈡,1.98,0.0,0.36,0.56,78.27,          2.60㈡,39.18,,19.18,56186153.6289,,52754.1,
1548,300317,珈伟股份,18.15,-124.7,-2.07,9.39,6.56,-49.39,,0.0,0.0,半导体,深圳,0.0,27.22,0.0,0.0,,0.0,0.0,,11162.91,30.39,         38.11亿,1.06,0.0,,,20150829.0,20120511.0,14000.0,0.0,0.0,142949.67,58087.38,2511.62,57.61,114764.72,2584.2,5002.28,72376.3,37616.0,44810.17,20320.38,40590.92,29848.02,-838.35,0.0,-626.37,-740.17,-655.16,6384.21,-7716.31,-7873.9,3735.0,29887.0,81.35万,0.0,,,27.22,,-0.047㈡,4.15,0.0,2.69,0.46,40.63,         -1.13㈡,26.47,,-1.61,,,,
1549,300318,博晖创新,30.91,24.54,11.88,86.15,3.54,258.45,107.82,83421976.0,1.28,医疗保健,北京,14.3,12.72,30077.0,35506.0,0.85,144.0,478.0,,20346.96,24.68,         49.62亿,-8.62,1980.0,33.0,0.0016,20150825.0,20120523.0,40910.58,0.0,0.0,201993.97,140149.84,-12150.17,36.63,52243.06,32741.49,9685.8,72383.93,89236.84,32580.88,3111.73,5760.28,1621.0,684.52,0.0,2373.2,1947.18,2301.25,26446.35,1920.05,-21903.3,5088.0,39990.0,48.51万,3.22,0.24,12.09,13.43,14.01,0.056㈡,3.43,0.0,2.18,0.65,69.38,          1.64㈡,71.86,12.1,39.95,21778989.8454,2444127.037,2660.9976,298.628
1550,300319,麦捷科技,22.74,-8.79,11.88,52.22,10.3,542.58,251.8,0.0,0.0,元器件,深圳,0.0,26.2,0.0,0.0,,0.0,0.0,,6315.0,16.55,         56.43亿,1.06,0.0,,,20150826.0,20120523.0,21538.66,0.0,0.0,49299.46,35285.96,430.17,27.55,29422.53,15223.57,81.89,12090.11,11066.76,6970.03,8331.58,10806.8,8092.17,1284.17,93.16,1322.6,1136.02,1120.56,8726.63,1040.06,3678.56,5324.0,11861.0,31.08万,0.0,,,26.2,,0.080㈡,2.54,2.54,0.51,0.41,71.57,          3.18㈡,25.12,,10.37,12413604.028,,4167.29,
1551,300320,海达股份,7.62,3.25,12.69,5.51,3.05,106.93,25.4,44725920.0,0.72,橡胶,江苏,10.96,7.83,29585.0,27526.0,1.07,136.0,779.0,,23585.61,18.23,         22.68亿,-0.47,1714.0,33.0,0.0014,20150826.0,20120601.0,29334.8,0.0,0.0,105038.92,74371.61,1743.18,27.54,68940.09,33084.37,1020.67,28217.55,6600.5,12555.55,43327.89,41140.4,30331.94,5218.83,0.0,5508.48,4617.85,4464.18,34631.45,2120.65,-142.69,14015.0,16829.0,13.01万,2.42,-0.25,7.44,7.85,8.3,0.152㈡,2.54,0.0,0.23,1.18,70.8,          6.00㈡,26.27,7.64,10.85,2667988.568,802497.3488,463.042,139.2772
1552,300321,同大股份,0.75,37.01,10.17,9.14,4.25,71.04,51.39,38285348.0,0.66,塑料,山东,11.79,52.81,3230.0,4019.0,0.8,2.0,38.0,,4440.0,23.27,         23.27亿,-2.26,730.0,10.0,0.0022,20150722.0,20120523.0,4440.0,0.0,0.0,72027.65,54791.57,0.0,23.93,31292.85,30869.35,8338.66,14509.38,28246.33,9742.45,6046.12,25442.25,19684.96,2586.63,0.0,2666.07,2263.85,2263.85,19746.67,3275.18,-2016.05,3502.0,12678.0,66.44万,1.63,0.4,50.11,54.2,56.5,0.510㈡,12.34,0.0,6.36,4.45,76.07,          4.13㈡,22.63,51.5,8.9,3701500.9335,3709423.975,1195.8453,1198.405
1553,300322,硕贝德,-3.75,-208.85,-12.61,12.68,7.49,85.16,,0.0,0.0,通信设备,广东,0.0,10.12,0.0,0.0,,0.0,0.0,,35376.96,35.8,         41.01亿,1.06,0.0,,,20150826.0,20120608.0,40521.23,0.0,0.0,103774.27,54785.91,7669.66,39.82,43467.62,45568.55,3813.68,38470.73,4229.97,12181.21,13582.65,32352.33,24857.92,-4081.21,0.0,-3886.86,-2974.08,-2686.51,9031.28,4815.6,2162.83,18517.0,19105.0,19.33万,0.0,,,10.12,,-0.066㈡,1.35,0.0,0.1,0.22,52.79,         -4.90㈡,23.16,,-8.3,,,,
